,Ciudad,Pais,PM25,PM10,O3,NO2,CO,Fecha
102,Hubei,Mainland China,141.0,44.0,44.0,14.0,8.0,2018-04-13
103,Hubei,Mainland China,101.0,38.0,38.0,9.0,7.0,2018-04-14
104,Hubei,Mainland China,75.0,134.0,134.0,17.0,7.0,2018-04-15
105,Hubei,Mainland China,132.0,146.0,146.0,25.0,9.0,2018-04-16
106,Hubei,Mainland China,146.0,94.0,94.0,20.0,8.0,2018-04-17
107,Hubei,Mainland China,140.0,80.0,80.0,16.0,7.0,2018-04-18
108,Hubei,Mainland China,138.0,63.0,63.0,17.0,8.0,2018-04-19
109,Hubei,Mainland China,115.0,66.0,66.0,21.0,9.0,2018-04-20
110,Hubei,Mainland China,139.0,54.0,54.0,16.0,9.0,2018-04-21
111,Hubei,Mainland China,127.0,51.0,51.0,14.0,9.0,2018-04-22
112,Hubei,Mainland China,108.0,32.0,32.0,6.0,10.0,2018-04-23
113,Hubei,Mainland China,62.0,44.0,44.0,10.0,9.0,2018-04-24
114,Hubei,Mainland China,101.0,66.0,66.0,14.0,8.0,2018-04-25
115,Hubei,Mainland China,132.0,58.0,58.0,13.0,8.0,2018-04-26
116,Hubei,Mainland China,128.0,69.0,69.0,19.0,13.0,2018-04-27
117,Hubei,Mainland China,157.0,69.0,69.0,16.0,11.0,2018-04-28
118,Hubei,Mainland China,153.0,70.0,70.0,15.0,12.0,2018-04-29
119,Hubei,Mainland China,155.0,50.0,50.0,13.0,12.0,2018-04-30
120,Hubei,Mainland China,126.0,40.0,40.0,13.0,10.0,2018-05-01
121,Hubei,Mainland China,97.0,71.0,71.0,11.0,9.0,2018-05-02
122,Hubei,Mainland China,142.0,65.0,65.0,18.0,11.0,2018-05-03
123,Hubei,Mainland China,136.0,60.0,60.0,15.0,8.0,2018-05-04
124,Hubei,Mainland China,119.0,53.0,53.0,11.0,10.0,2018-05-05
125,Hubei,Mainland China,122.0,27.0,27.0,10.0,10.0,2018-05-06
126,Hubei,Mainland China,61.0,21.0,21.0,7.0,8.0,2018-05-07
127,Hubei,Mainland China,64.0,23.0,23.0,8.0,8.0,2018-05-08
128,Hubei,Mainland China,61.0,54.0,54.0,14.0,8.0,2018-05-09
129,Hubei,Mainland China,112.0,60.0,60.0,17.0,8.0,2018-05-10
130,Hubei,Mainland China,131.0,60.0,60.0,9.0,8.0,2018-05-11
131,Hubei,Mainland China,158.0,48.0,48.0,10.0,10.0,2018-05-12
132,Hubei,Mainland China,119.0,55.0,55.0,11.0,11.0,2018-05-13
133,Hubei,Mainland China,130.0,52.0,52.0,9.0,9.0,2018-05-14
134,Hubei,Mainland China,107.0,48.0,48.0,10.0,8.0,2018-05-15
135,Hubei,Mainland China,96.0,42.0,42.0,8.0,7.0,2018-05-16
136,Hubei,Mainland China,75.0,37.0,37.0,5.0,7.0,2018-05-17
137,Hubei,Mainland China,70.0,40.0,40.0,7.0,9.0,2018-05-18
138,Hubei,Mainland China,81.0,26.0,26.0,7.0,8.0,2018-05-19
139,Hubei,Mainland China,56.0,32.0,32.0,8.0,9.0,2018-05-20
140,Hubei,Mainland China,67.0,33.0,33.0,12.0,11.0,2018-05-21
141,Hubei,Mainland China,67.0,51.0,51.0,5.0,8.0,2018-05-22
142,Berlin,Germany,,,29.0,17.0,,2018-01-01
143,Berlin,Germany,,35.0,13.0,28.0,,2018-01-02
144,Berlin,Germany,,17.0,23.0,21.0,,2018-01-03
145,Berlin,Germany,,12.0,25.0,23.0,,2018-01-04
146,Berlin,Germany,,15.0,21.0,29.0,,2018-01-05
147,Berlin,Germany,,18.0,11.0,33.0,,2018-01-06
148,Berlin,Germany,,25.0,19.0,13.0,,2018-01-07
