Ciudad,Pais,Casos,Muertes
State of Ceara,Brazil,"34,573","2,251"
State of Rio de Janeiro,Brazil,"33,589","3,657"
State of Amazonas,Brazil,"27,038","1,669"
State of Pernambuco,Brazil,"25,760","2,057"
State of Para,Brazil,"21,469","1,937"
State of Maranhao,Brazil,"17,212",693
State of Bahia,Brazil,"12,557",399
State of Espirito Santo,Brazil,"9,520",397
State of Paraiba,Brazil,"6,882",248
State of Santa Catarina,Brazil,"6,458",100
State of Minas Gerais,Brazil,"5,995",201
Federal District,Brazil,"5,948",90
State of Rio Grande do Sul,Brazil,"5,918",172
State of Amapa,Brazil,"5,655",157
State of Alagoas,Brazil,"5,302",280
State of Sergipe,Brazil,"4,922",82
State of Rio Grande do Norte,Brazil,"4,251",181
State of Acre,Brazil,"3,343",80
State of Piaui,Brazil,"3,074",93
State of Parana,Brazil,"2,939",146
State of Rondonia,Brazil,"2,774",106
State of Roraima,Brazil,"2,306",83
State of Goias,Brazil,"2,304",93
State of Tocantins,Brazil,"2,205",49
State of Mato Grosso,Brazil,"1,220",37
State of Mato Grosso do Sul,Brazil,805,17
Chernivtsi Oblast,Ukraine,"3,028",125
Kyiv city,Ukraine,"1,583",28
Kyiv Oblast,Ukraine,"1,419",30
Rivne Oblast,Ukraine,"1,417",31
Lviv Oblast,Ukraine,"1,333",35
Ivano-Frankivsk Oblast,Ukraine,"1,277",74
Ternopil Oblast,Ukraine,"1,115",24
Zakarpattia Oblast,Ukraine,"1,061",26
Kharkiv Oblast,Ukraine,910,38
Vinnytsia Oblast,Ukraine,889,15
Dnipropetrovsk Oblast,Ukraine,869,17
Odessa Oblast,Ukraine,827,14
Volyn Oblast,Ukraine,771,22
Zhytomyr Oblast,Ukraine,626,13
Kirovohrad Oblast,Ukraine,473,23
Zaporizhia Oblast,Ukraine,410,12
Cherkasy Oblast,Ukraine,388,16
Khmelnytskyi Oblast,Ukraine,346,9
Mykolaiv Oblast,Ukraine,280,7
Poltava Oblast,Ukraine,266,11
Kherson Oblast,Ukraine,177,2
Sumy Oblast,Ukraine,166,4
Donetsk Oblast,Ukraine,143,4
Chernihiv Oblast,Ukraine,129,6
Luhansk Oblast,Ukraine,43,0
England,United Kingdom,"131,932","27,432"
Greater London,United Kingdom,"18,000",—
Scotland,United Kingdom,"13,929",—
Wales,United Kingdom,"11,706",—
Midlands,United Kingdom,"11,368",—
North West,United Kingdom,"10,027",—
North East and Yorkshire,United Kingdom,"9,059",—
South East England,United Kingdom,"8,517",—
East of England,United Kingdom,"6,002",—
South West England,United Kingdom,"3,392",—
Northern Ireland,United Kingdom,"1,911",—
Akrotiri and Dhekelia,United Kingdom,10,0
New York,United States,"359,926","23,282"
New Jersey,United States,"153,104","11,081"
