Ciudad,Pais,Casos,Muertes
West Pomeranian Voivodeship,Poland,522.0,19.0
Lublin Voivodeship,Poland,434.0,15.0
Podlaskie Voivodeship,Poland,419.0,9.0
Swietokrzyskie,Poland,382.0,20.0
Podkarpackie Voivodeship,Poland,378.0,35.0
Warmian-Masurian Voivodeship,Poland,175.0,1.0
Lubusz Voivodeship,Poland,103.0,
,Pakistan,54601.0,1133.0
Suceava County,Romania,3438.0,
Bucharest,Romania,1758.0,
Neamt County,Romania,871.0,
Botosani County,Romania,710.0,
Arad County,Romania,695.0,
Brasov County,Romania,685.0,
Mures County,Romania,661.0,
Hunedoara County,Romania,626.0,
Galati,Romania,571.0,
Vrancea County,Romania,570.0,
Bihor County,Romania,546.0,
Cluj County,Romania,538.0,
Timis County,Romania,498.0,
Bacau County,Romania,490.0,
Sibiu,Romania,483.0,
Iasi County,Romania,477.0,
Ilfov County,Romania,451.0,
Ialomita County,Romania,352.0,
Bistrita-Nasaud County,Romania,320.0,
Alba County,Romania,318.0,
Constanta County,Romania,269.0,
Dambovita County,Romania,258.0,
Arges County,Romania,235.0,
Covasna County,Romania,230.0,
Giurgiu County,Romania,211.0,
Dolj County,Romania,195.0,
Buzau County,Romania,158.0,
Vaslui County,Romania,157.0,
Tulcea County,Romania,141.0,
Teleorman County,Romania,130.0,
Gorj County,Romania,117.0,
Harghita County,Romania,115.0,
Caras-Severin County,Romania,112.0,
Mehedinti County,Romania,105.0,
Prahova,Romania,96.0,
Maramures County,Romania,94.0,
Salaj,Romania,85.0,
Calarasi County,Romania,80.0,
Olt County,Romania,75.0,
Satu Mare County,Romania,61.0,
,Russia,344481.0,3541.0
Mexico City,Mexico,12456.0,1197.0
State of Mexico,Mexico,7570.0,453.0
Baja California,Mexico,3040.0,518.0
Tabasco,Mexico,2177.0,275.0
Sinaloa,Mexico,1814.0,261.0
Veracruz,Mexico,1700.0,222.0
Puebla,Mexico,1338.0,180.0
Quintana Roo,Mexico,1257.0,234.0
Yucatan,Mexico,1025.0,68.0
Morelos,Mexico,1021.0,142.0
Tamaulipas,Mexico,890.0,55.0
Chihuahua,Mexico,874.0,183.0
Nuevo Leon,Mexico,776.0,49.0
Michoacan,Mexico,768.0,81.0
Jalisco,Mexico,767.0,69.0
Sonora,Mexico,757.0,34.0
Hidalgo,Mexico,748.0,141.0
Guerrero,Mexico,743.0,101.0
Guanajuato,Mexico,658.0,63.0
Coahuila,Mexico,644.0,54.0
Baja California Sur,Mexico,617.0,26.0
Chiapas,Mexico,533.0,39.0
Tlaxcala,Mexico,509.0,86.0
Aguascalientes,Mexico,443.0,18.0
San Luis Potosi,Mexico,399.0,19.0
Oaxaca,Mexico,369.0,63.0
Queretaro,Mexico,361.0,31.0
Campeche,Mexico,311.0,35.0
Nayarit,Mexico,287.0,26.0
Zacatecas,Mexico,181.0,22.0
Durango,Mexico,150.0,15.0
Colima,Mexico,82.0,7.0
Daegu,South Korea,6873.0,183.0
Gyeongsangbuk-do,South Korea,1376.0,54.0
Seoul,South Korea,768.0,4.0
Gyeonggi-do,South Korea,760.0,18.0
Chungcheong-do,South Korea,145.0,0.0
Busan,South Korea,144.0,3.0
Incheon,South Korea,143.0,0.0
Gyeongsangnam-do,South Korea,123.0,0.0
Chungcheongbuk-do,South Korea,59.0,0.0
Gangwon-do,South Korea,56.0,2.0
Ulsan,South Korea,50.0,1.0
Sejong City,South Korea,47.0,0.0
Daejeon,South Korea,45.0,1.0
Gwangju,South Korea,30.0,0.0
Jeollabuk-do,South Korea,21.0,0.0
Jeollanam-do,South Korea,18.0,0.0
Jeju-do,South Korea,14.0,0.0
Community of Madrid,Spain,67049.0,8931.0
Catalonia,Spain,55888.0,6021.0
Castile and Leon,Spain,18627.0,1960.0
Castile-La Mancha,Spain,16789.0,2919.0
Basque Country,Spain,13421.0,1483.0
Andalusia,Spain,12547.0,1375.0
Valencian Community,Spain,10987.0,1383.0
Galicia,Spain,9077.0,608.0
Aragon,Spain,5588.0,848.0
Navarre,Spain,5195.0,506.0
